Zipcode,Average Annual Max Temp (F),Average Annual Min Temp (F),Average Annual Precipitation (inches),Average Annual Wind Speed (mph),Average Annual UV Index (0-10),Average Annual Visibility (miles),Average Annual Cloud Cover (%),Average Annual Humidity (%),Average Annual Solar Radiation (W/m^2)
60611,60.30164384,45.10109589,0.081134247,15.8430137,4.594520548,9.324109589,64.74986301,62.47671233,136.1380822
60482,60.5690411,45.17534247,0.078865753,16.29945205,5.646575342,9.290958904,64.37945205,63.29287671,240.4117808
60634,59.65342466,44.18383562,0.07960274,15.83342466,5.539726027,9.315068493,64.92821918,64.03506849,246.1380822
60629,61.12958904,45.95013699,0.081679452,17.11424658,5.649315068,9.318630137,68.31178082,61.01780822,237.0531507
60649,60.33452055,44.82712329,0.076906849,15.9369863,5.82739726,9.282465753,62.93013699,64.07808219,253.7621918
60640,59.85589041,44.51150685,0.080419178,15.39561644,4.594520548,9.325479452,62.16794521,63.48356164,136.3227397
60626,59.72082192,44.26821918,0.080531507,15.23671233,4.594520548,9.326575342,60.35178082,63.87424658,136.0830137
60660,59.78547945,44.39753425,0.079972603,15.33287671,4.594520548,9.326575342,61.34,63.6690411,136.0830137
60661,60.4660274,45.29342466,0.08129863,16.08575342,4.594520548,9.323835616,65.72493151,62.12630137,136.2465753
60654,60.41945205,45.23863014,0.081219178,16.0030137,4.594520548,9.323561644,65.39890411,62.24109589,136.2465753
60653,60.59287671,45.30493151,0.080271233,16.33068493,5.668493151,9.300547945,66.11863014,62.59342466,238.1413699
60645,59.67369863,44.18849315,0.080350685,15.25150685,4.594520548,9.325479452,60.35972603,63.99561644,136.0830137
60604,60.48082192,45.30520548,0.081353425,16.09835616,4.594520548,9.324109589,65.68136986,62.10465753,136.2465753
60610,60.34849315,45.15561644,0.081213699,15.90684932,4.594520548,9.323013699,65.0660274,62.38383562,136.1065753
60659,59.71287671,44.27123288,0.080336986,15.33260274,4.594520548,9.324383562,61.36767123,63.8769863,136.3227397
60605,60.4860274,45.2139726,0.080210959,16.20931507,5.101369863,9.300821918,66.29013699,62.73643836,182.8134247
60641,59.80575342,44.44767123,0.080194521,15.59452055,5.531506849,9.31890411,63.92849315,63.59178082,245.8380822
60617,59.92136986,44.11671233,0.073928767,15.50794521,5.82739726,9.257808219,59.52410959,66.05452055,257.2561644
60628,60.10027397,44.41178082,0.074947945,15.67808219,5.82739726,9.265753425,60.82438356,65.25068493,253.7621918
60644,60.40931507,45.23369863,0.081353425,16.07726027,5.090410959,9.320821918,66.37863014,62.24164384,205.5819178
60609,60.8139726,45.58082192,0.081161644,16.65287671,5.668493151,9.308767123,67.16410959,61.89808219,237.8843836
60606,60.46082192,45.28328767,0.081315068,16.06684932,4.594520548,9.324109589,65.63205479,62.15013699,136.2465753
60651,60.2139726,45.00986301,0.080852055,15.84109589,5.539726027,9.321917808,65.58410959,62.64876712,245.2545205
60633,59.25917808,42.61452055,0.068246575,15.22821918,5.82739726,9.204931507,52.65616438,70.24520548,257.2561644
60601,60.42273973,45.23945205,0.081241096,16.00356164,4.594520548,9.324109589,65.34219178,62.23287671,135.6832877
60621,60.76986301,45.50328767,0.079846575,16.57671233,5.643835616,9.308767123,66.55424658,62.15534247,240.7824658
60805,60.85671233,45.57041096,0.079890411,16.68219178,5.810958904,9.307123288,66.46767123,62.03479452,251.9117808
60619,60.46191781,45.00657534,0.077709589,16.10219178,5.82739726,9.289863014,63.71342466,63.59671233,253.7621918
60656,59.49671233,43.90520548,0.078934247,15.97945205,5.550684932,9.313972603,64.78328767,64.49205479,246.7841096
60638,61.15534247,45.9890411,0.082408219,17.18109589,5.668493151,9.31890411,68.62383562,60.89342466,237.9364384
60707,59.73534247,44.32410959,0.079989041,15.84136986,5.090410959,9.312876712,65.5109589,63.79780822,205.5819178
60652,61.02739726,45.81972603,0.080956164,16.95808219,5.643835616,9.316164384,67.75232877,61.34630137,240.7824658
60639,59.96849315,44.68383562,0.080553425,15.6860274,5.539726027,9.317260274,64.92547945,63.20794521,245.2545205
60603,60.46383562,45.28547945,0.081309589,16.07150685,4.594520548,9.324383562,65.60273973,62.13917808,136.2465753
60646,59.57890411,44.04356164,0.079813699,15.45753425,4.594520548,9.321643836,61.73123288,64.24082192,136.4550685
60302,60.10849315,44.87671233,0.08090137,15.82739726,5.090410959,9.315342466,65.93808219,62.88383562,205.5819178
60456,60.98383562,45.76794521,0.080827397,16.89068493,5.649315068,9.314246575,67.53671233,61.4860274,237.2580822
60631,59.47452055,43.86684932,0.0788,15.79013699,5.550684932,9.318630137,63.28493151,64.5460274,245.9646575
60602,60.45205479,45.27260274,0.081293151,16.04767123,4.594520548,9.323835616,65.51643836,62.17232877,136.2465753
60632,61.07452055,45.89150685,0.081813699,17.03835616,5.668493151,9.31890411,68.26219178,61.13534247,237.8843836
60643,60.37424658,44.82,0.077150685,16.00219178,5.82739726,9.277808219,62.38931507,64.22986301,253.7621918
60620,60.76246575,45.44027397,0.079293151,16.53835616,5.830136986,9.302739726,65.78109589,62.40684932,253.8046575
60655,60.59726027,45.15808219,0.078550685,16.30821918,5.810958904,9.287945205,64.01506849,63.29835616,251.9117808
60804,60.87506849,45.71123288,0.081890411,16.71452055,5.44109589,9.319452055,67.69561644,61.3860274,225.8868493
60636,60.93205479,45.71315068,0.080923288,16.82356164,5.643835616,9.313150685,67.43287671,61.60876712,240.7824658
60402,60.85506849,45.6909589,0.081873973,16.68958904,5.44109589,9.320547945,67.69945205,61.41972603,225.9536986
60176,59.42191781,43.74931507,0.078109589,16.50136986,5.539726027,9.304109589,67.43972603,64.74356164,245.2819178
46394,59.43150685,42.61808219,0.067528767,15.21753425,5.82739726,9.174520548,53.10328767,69.86767123,257.189589
60202,59.64876712,44.1139726,0.080208219,15.17150685,4.715068493,9.331780822,59.10136986,64.11616438,143.7336986
60696,60.53178082,45.36219178,0.081345205,16.15753425,4.594520548,9.324109589,65.91890411,62.0309589,136.2465753
