Latitude,Longitude,Zipcode,id,listing_url,name,picture_url,host_id,host_url,host_name,host_since,host_location,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,property_type,code-chicago,room_type,accommodates,bathrooms_text,bedrooms,beds,price,revenue_potential_annual,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,Average Annual Max Temp (F),Average Annual Min Temp (F),Average Annual Precipitation (inches),Average Annual Wind Speed (mph),Average Annual UV Index (0-10),Average Annual Visibility (miles),Average Annual Cloud Cover (%),Average Annual Humidity (%),Average Annual Solar Radiation (W/m^2),median_ppsf
41.89821,-87.6572,60622,2062638,https://www.airbnb.com/rooms/2062638,Downtown Urban Oasis 3BR + Huge Deck & Parking!,https://a0.muscache.com/pictures/4233f06b-0eda-4461-9aea-dc164f26e613.jpg,1876597,https://www.airbnb.com/users/show/1876597,The Adventurers,07-03-2012,"Chicago, IL",89%,f,https://a0.muscache.com/im/users/1876597/profile_pic/1351536482/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1876597/profile_pic/1351536482/original.jpg?aki_policy=profile_x_medium,River West,2,t,t,West Town,Entire condo,2,Entire home/apt,10,2 baths,3,4,179.00,56564,t,27,53,74,316,195,29,1,4.76,4.76,4.73,4.9,4.93,4.8,4.67,60.33479452,45.14575342,0.081216438,15.91424658,4.594520548,9.324383562,65.26958904,62.40246575,136.2465753,329.4736842
41.93338,-87.63913,60614,2103986,https://www.airbnb.com/rooms/2103986,Mid-Century Townhouse in Lakeview,https://a0.muscache.com/pictures/34935292/61fa7bb8_original.jpg,1838943,https://www.airbnb.com/users/show/1838943,Sunnie/Randolph,01-03-2012,"Chicago, IL",71%,t,https://a0.muscache.com/im/users/1838943/profile_pic/1351436544/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1838943/profile_pic/1351436544/original.jpg?aki_policy=profile_x_medium,Palermo,2,t,t,Lake View,Private room in townhouse,5,Private room,2,1 shared bath,1,1,75.00,15600,t,7,21,35,208,143,6,0,4.81,4.86,4.74,4.93,4.96,4.96,4.84,60.16958904,44.94356164,0.080936986,15.69561644,4.594520548,9.321643836,64.29232877,62.75232877,136.1380822,386.7642184
41.88849,-87.70648,60624,2139407,https://www.airbnb.com/rooms/2139407,Urban Farm Fun!  Walk to Metra/CTA,https://a0.muscache.com/pictures/miso/Hosting-2139407/original/e782a864-fc63-4485-a68f-bfda523b0a30.jpeg,10917550,https://www.airbnb.com/users/show/10917550,Nicky,30-12-2013,"Chicago, IL",100%,f,https://a0.muscache.com/im/pictures/user/3fd9d1d8-4c45-4fc2-aa22-3ad7517e97d4.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/3fd9d1d8-4c45-4fc2-aa22-3ad7517e97d4.jpg?aki_policy=profile_x_medium,Garfield Park,6,t,t,Humboldt Park,Entire rental unit,1,Entire home/apt,5,1 bath,1,3,79.00,25596,t,17,36,55,324,528,36,1,4.52,4.67,4.55,4.8,4.73,4.08,4.56,60.51753425,45.34739726,0.0814,16.18383562,5.090410959,9.322739726,66.39835616,62.04575342,205.5545205,107.9842932
41.84828,-87.68021,60608,2189522,https://www.airbnb.com/rooms/2189522,Casa CorazÃ³n (E) near Rush / UIC,https://a0.muscache.com/pictures/3edaa68e-3154-44a5-a36d-62ae9cfe80d1.jpg,1559157,https://www.airbnb.com/users/show/1559157,Amanda,02-01-2012,"Chicago, IL",99%,t,https://a0.muscache.com/im/users/1559157/profile_pic/1381170363/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1559157/profile_pic/1381170363/original.jpg?aki_policy=profile_x_medium,Pilsen,3,t,t,Lower West Side,Private room in home,3,Private room,1,1.5 shared baths,1,1,82.00,28618,t,28,53,80,349,177,23,0,4.95,4.93,4.94,4.95,5,4.66,4.93,60.75835616,45.59534247,0.081679452,16.51424658,5.438356164,9.32,66.97917808,61.6,225.8282192,201.7876703
41.94594,-87.65431,60657,2305194,https://www.airbnb.com/rooms/2305194,Wrigley Hostel - 4 Bed Private Room,https://a0.muscache.com/pictures/miso/Hosting-2305194/original/1c734213-62a2-49fb-a8d2-99f202657ae2.png,7391164,https://www.airbnb.com/users/show/7391164,Wrigley Hostel,10-07-2013,"Chicago, IL",99%,f,https://a0.muscache.com/im/pictures/user/93b64a71-22e2-4890-94fe-9723ba3201e1.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/93b64a71-22e2-4890-94fe-9723ba3201e1.jpg?aki_policy=profile_x_medium,Wrigleyville,5,t,t,Lake View,Private room in hostel,1,Private room,4,11 shared baths,1,4,154.00,43890,t,30,60,89,285,60,2,0,4.46,4.51,4.34,4.83,4.64,4.79,4.48,60.04273973,44.77917808,0.080605479,15.56986301,4.594520548,9.323561644,63.56767123,63.03835616,136.1432877,326.8902786
41.94594,-87.65431,60657,2305230,https://www.airbnb.com/rooms/2305230,Wrigley Hostel - 10 Bed Shared Room,https://a0.muscache.com/pictures/miso/Hosting-2305230/original/657df990-f8be-49fd-9d9b-196961cecbb9.jpeg,7391164,https://www.airbnb.com/users/show/7391164,Wrigley Hostel,10-07-2013,"Chicago, IL",99%,f,https://a0.muscache.com/im/pictures/user/93b64a71-22e2-4890-94fe-9723ba3201e1.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/93b64a71-22e2-4890-94fe-9723ba3201e1.jpg?aki_policy=profile_x_medium,Wrigleyville,5,t,t,Lake View,Shared room in hostel,1,Shared room,1,11 shared baths,1,10,34.00,9724,t,30,60,90,286,399,57,3,4.51,4.7,4.6,4.76,4.72,4.83,4.6,60.04273973,44.77917808,0.080605479,15.56986301,4.594520548,9.323561644,63.56767123,63.03835616,136.1432877,326.8902786
41.89634,-87.65608,60642,2396340,https://www.airbnb.com/rooms/2396340,"Unique, Handcrafted Art Gallery Condo in River West Chicago",https://a0.muscache.com/pictures/monet/Select-2396340/original/c5b4a036-6b2c-4842-904a-e350b640d89d,5228189,https://www.airbnb.com/users/show/5228189,Matthew,25-02-2013,"Chicago, IL",99%,t,https://a0.muscache.com/im/pictures/user/0e52ac8d-cda8-4ca0-8539-9d609053926e.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/0e52ac8d-cda8-4ca0-8539-9d609053926e.jpg?aki_policy=profile_x_medium,River West,41,t,t,West Town,Entire rental unit,1,Entire home/apt,6,2 baths,3,4,186.00,58776,t,13,32,43,316,457,35,0,4.91,4.9,4.96,4.98,4.98,4.83,4.81,60.32246575,45.13369863,0.081183562,15.8890411,4.594520548,9.323013699,65.11890411,62.42657534,136.1065753,332.7105263
41.94272,-87.68409,60618,2437230,https://www.airbnb.com/rooms/2437230,City Hideaway,https://a0.muscache.com/pictures/ce2daacb-38f2-4aac-ab89-a09af9fa5be5.jpg,7000138,https://www.airbnb.com/users/show/7000138,Brock & Kim,19-06-2013,"Chicago, IL",92%,t,https://a0.muscache.com/im/users/7000138/profile_pic/1393025639/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/7000138/profile_pic/1393025639/original.jpg?aki_policy=profile_x_medium,Roscoe Village,2,t,t,North Center,Entire rental unit,1,Entire home/apt,3,1 bath,2,2,225.00,39825,t,30,52,54,177,97,8,0,4.91,4.93,4.93,4.96,4.96,4.96,4.79,59.92657534,44.62273973,0.080460274,15.54027397,4.594520548,9.32109589,63.60219178,63.3,136.7410959,299.806701
41.96703,-87.75087,60630,2459132,https://www.airbnb.com/rooms/2459132,Conveniently Located!,https://a0.muscache.com/pictures/33311316/21d53c07_original.jpg,12059561,https://www.airbnb.com/users/show/12059561,Rick,08-02-2014,"Chicago, IL",N/A,f,https://a0.muscache.com/im/users/12059561/profile_pic/1404504451/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/12059561/profile_pic/1404504451/original.jpg?aki_policy=profile_x_medium,Portage Park,1,t,t,Portage Park,Private room in home,3,Private room,2,1 private bath,1,1,325.00,28275,t,27,57,87,87,67,0,0,4.98,4.97,5,5,4.98,4.79,4.97,59.65150685,44.19150685,0.079873973,15.58054795,4.594520548,9.318082192,63.08849315,64.01315068,136.7583562,217.4898671
41.88209,-87.65127,60607,2471876,https://www.airbnb.com/rooms/2471876,Bright&Modern Condo in the Heart of the Best Loop,https://a0.muscache.com/pictures/miso/Hosting-2471876/original/26ef98c0-a9db-407c-9d1d-73f5a6552d03.jpeg,6169870,https://www.airbnb.com/users/show/6169870,Bora,30-04-2013,"Chicago, IL",57%,f,https://a0.muscache.com/im/users/6169870/profile_pic/1411393103/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/6169870/profile_pic/1411393103/original.jpg?aki_policy=profile_x_medium,West Loop/Greektown,1,t,t,Near West Side,Entire condo,2,Entire home/apt,4,1.5 baths,2,2,185.00,3515,t,3,10,19,19,63,14,0,4.97,4.92,4.93,4.9,4.88,4.97,4.81,60.53479452,45.36520548,0.081345205,16.1690411,4.594520548,9.322739726,65.99013699,62.02082192,136.2465753,356.6666667
41.96316,-87.69208,60625,2479175,https://www.airbnb.com/rooms/2479175,Cozy Garden-Subterranean Apartment,https://a0.muscache.com/pictures/bde7df59-378b-412c-905a-2dfa84216895.jpg,12681444,https://www.airbnb.com/users/show/12681444,Jenny,28-02-2014,"Chicago, IL",97%,t,https://a0.muscache.com/im/users/12681444/profile_pic/1396400587/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/12681444/profile_pic/1396400587/original.jpg?aki_policy=profile_x_medium,Lincoln Square,1,t,t,Lincoln Square,Entire rental unit,1,Entire home/apt,2,1 bath,1,1,90.00,3240,t,5,15,18,36,239,26,2,4.75,4.85,4.81,4.94,4.97,4.89,4.76,59.79068493,44.41561644,0.079945205,15.4309589,4.594520548,9.323013699,62.40383562,63.64164384,136.4454795,258.3333333
41.90006,-87.68096,60622,2499596,https://www.airbnb.com/rooms/2499596,Vintage Apartment in the Heart of the Ukrainian Village,https://a0.muscache.com/pictures/8cb8981c-84fd-4c5a-8481-471f6584afe6.jpg,2768314,https://www.airbnb.com/users/show/2768314,Jason,28-06-2012,"Chicago, IL",91%,t,https://a0.muscache.com/im/pictures/user/88b75a59-a5dd-4b2b-b1ef-acf8fedfd60f.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/88b75a59-a5dd-4b2b-b1ef-acf8fedfd60f.jpg?aki_policy=profile_x_medium,Ukrainian Village,2,t,t,West Town,Entire condo,2,Entire home/apt,3,1.5 baths,1,1,113.00,10170,t,30,60,90,90,174,10,0,4.84,4.8,4.86,4.96,4.91,4.88,4.8,60.33479452,45.14575342,0.081216438,15.91424658,4.594520548,9.324383562,65.26958904,62.40246575,136.2465753,329.4736842
41.79606,-87.62382,60637,2519442,https://www.airbnb.com/rooms/2519442,"Warm Cozy Guest Suite, Private Bath",https://a0.muscache.com/pictures/34370419/82ef17ee_original.jpg,7858620,https://www.airbnb.com/users/show/7858620,Cynthia,31-07-2013,"Chicago, IL",94%,f,https://a0.muscache.com/im/users/7858620/profile_pic/1394311242/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/7858620/profile_pic/1394311242/original.jpg?aki_policy=profile_x_medium,Washington Park,1,t,t,Washington Park,Private room in condo,2,Private room,2,1.5 baths,1,1,80.00,28000,t,29,59,80,350,102,15,0,4.76,4.67,4.51,4.94,4.92,4.35,4.72,60.55041096,45.2139726,0.078742466,16.2490411,5.830136986,9.3,65.31260274,62.92684932,253.8046575,165.8634538
41.85669,-87.65132,60608,2543231,https://www.airbnb.com/rooms/2543231,Private room near Downtown,https://a0.muscache.com/pictures/33934763/eb6813c3_original.jpg,2850286,https://www.airbnb.com/users/show/2850286,Amado,06-07-2012,"Chicago, IL",69%,f,https://a0.muscache.com/im/pictures/user/a47db523-22e7-4f2d-8947-b6235e67d917.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/a47db523-22e7-4f2d-8947-b6235e67d917.jpg?aki_policy=profile_x_medium,Pilsen,1,t,t,Lower West Side,Private room in rental unit,1,Private room,2,1 shared bath,1,1,65.00,5785,t,29,59,89,89,246,6,0,4.89,4.91,4.89,4.92,4.96,4.59,4.84,60.75835616,45.59534247,0.081679452,16.51424658,5.438356164,9.32,66.97917808,61.6,225.8282192,275.0718855
41.85295,-87.70686,60623,2564678,https://www.airbnb.com/rooms/2564678,Even Cowgirls Get The Blues Rm.,https://a0.muscache.com/pictures/33815151/aaf3834e_original.jpg,5654677,https://www.airbnb.com/users/show/5654677,Urban Art,27-03-2013,"Chicago, IL",N/A,f,https://a0.muscache.com/im/pictures/user/5c4c0c18-5e5e-4cba-80ac-c5e61b25816f.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/5c4c0c18-5e5e-4cba-80ac-c5e61b25816f.jpg?aki_policy=profile_x_medium,North Lawndale,4,t,f,South Lawndale,Private room in home,3,Private room,1,1.5 baths,1,1,45.00,8055,t,29,59,89,179,7,0,0,3.67,3.67,3.5,4.5,4,3.33,4,60.83452055,45.67232877,0.081824658,16.64712329,5.438356164,9.320821918,67.43808219,61.45479452,225.8282192,115.8645276
41.85226,-87.62299,60616,2583929,https://www.airbnb.com/rooms/2583929,Next to McCormick Desk WIFI w/ KING BED +Laundry,https://a0.muscache.com/pictures/81701017-0499-4a85-8cb3-466af6699268.jpg,3965428,https://www.airbnb.com/users/show/3965428,Rob,24-10-2012,"Chicago, IL",74%,t,https://a0.muscache.com/im/pictures/user/4cc3ccfe-9063-4635-bd02-ee99790325cf.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/4cc3ccfe-9063-4635-bd02-ee99790325cf.jpg?aki_policy=profile_x_medium,South Loop/Printers Row,83,t,t,Near South Side,Entire rental unit,1,Entire home/apt,3,1 bath,1,2,120.00,43800,t,30,60,90,365,16,0,0,4.92,4.92,4.85,4.92,5,4.69,4.77,60.58767123,45.33479452,0.080638356,16.34109589,5.44109589,9.305205479,66.5830137,62.46520548,225.9536986,286.2702665
41.7918286,-87.6243682,60637,2604395,https://www.airbnb.com/rooms/2604395,Large 3 bed near University of Chicago & Hyde Park,https://a0.muscache.com/pictures/miso/Hosting-2604395/original/f1684d98-9464-4f3d-b4ef-df02ffeefb3b.jpeg,2376962,https://www.airbnb.com/users/show/2376962,Samuel,15-05-2012,"Chicago, IL",100%,f,https://a0.muscache.com/im/pictures/user/6a9b7d44-758d-4a49-8451-d524dded19a6.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/6a9b7d44-758d-4a49-8451-d524dded19a6.jpg?aki_policy=profile_x_medium,Washington Park,2,t,t,Washington Park,Entire rental unit,1,Entire home/apt,6,2 baths,3,4,129.00,46956,t,30,60,90,364,0,0,0,,,,,,,,60.55041096,45.2139726,0.078742466,16.2490411,5.830136986,9.3,65.31260274,62.92684932,253.8046575,160.3223244
41.86332,-87.68177,60612,2617467,https://www.airbnb.com/rooms/2617467,Vegan&Vibrant getaway with world travelers,https://a0.muscache.com/pictures/98742828/12b85d02_original.jpg,5016495,https://www.airbnb.com/users/show/5016495,Erika,08-02-2013,"Chicago, IL",50%,f,https://a0.muscache.com/im/pictures/user/d2caf62e-9b98-4347-9e0a-1fc7e56c827a.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d2caf62e-9b98-4347-9e0a-1fc7e56c827a.jpg?aki_policy=profile_x_medium,Little Italy/UIC,2,t,t,Near West Side,Private room in home,3,Private room,3,1 shared bath,1,1,68.00,5916,t,27,57,87,87,44,0,0,4.76,4.78,4.68,4.9,4.9,4.28,4.73,60.52246575,45.3509589,0.0814,16.16520548,5.090410959,9.324383562,66.15260274,62.0460274,205.5545205,138.8888889
41.88765,-87.61765,60611,2661465,https://www.airbnb.com/rooms/2661465,GREAT LOCATION SPECTACULAR VIEWS + BALCONY,https://a0.muscache.com/pictures/14f4859b-c1a2-4604-9247-61036d7ed22d.jpg,3965428,https://www.airbnb.com/users/show/3965428,Rob,24-10-2012,"Chicago, IL",74%,t,https://a0.muscache.com/im/pictures/user/4cc3ccfe-9063-4635-bd02-ee99790325cf.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/4cc3ccfe-9063-4635-bd02-ee99790325cf.jpg?aki_policy=profile_x_medium,South Loop/Printers Row,83,t,t,Loop,Entire rental unit,1,Entire home/apt,2,1 bath,1,1,160.00,58400,t,30,60,90,365,25,0,0,4.71,4.71,4.58,4.54,4.71,4.92,4.63,60.30164384,45.10109589,0.081134247,15.8430137,4.594520548,9.324109589,64.74986301,62.47671233,136.1380822,358.3241455
41.85255,-87.62121,60616,2679456,https://www.airbnb.com/rooms/2679456,2BD Great Views Modern Luxury  w/POOL,https://a0.muscache.com/pictures/35053990/a420b463_original.jpg,3965428,https://www.airbnb.com/users/show/3965428,Rob,24-10-2012,"Chicago, IL",74%,t,https://a0.muscache.com/im/pictures/user/4cc3ccfe-9063-4635-bd02-ee99790325cf.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/4cc3ccfe-9063-4635-bd02-ee99790325cf.jpg?aki_policy=profile_x_medium,South Loop/Printers Row,83,t,t,Near South Side,Entire serviced apartment,2,Entire home/apt,4,2 baths,2,1,200.00,73000,t,30,60,90,365,6,0,0,4.25,3,4.5,4,4.5,4,4,60.58767123,45.33479452,0.080638356,16.34109589,5.44109589,9.305205479,66.5830137,62.46520548,225.9536986,290.1353965
41.91387,-87.67182,60622,2693387,https://www.airbnb.com/rooms/2693387,"The Bucktown Penthouse Family, Business, Friends",https://a0.muscache.com/pictures/9d09ffaf-272f-4fe8-94de-d42a489e7ebf.jpg,13783917,https://www.airbnb.com/users/show/13783917,Nora,01-04-2014,"Northfield, IL",96%,f,https://a0.muscache.com/im/users/13783917/profile_pic/1396381959/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/13783917/profile_pic/1396381959/original.jpg?aki_policy=profile_x_medium,Bucktown,2,t,t,West Town,Entire condo,2,Entire home/apt,8,2 baths,3,8,126.00,23184,t,18,48,78,184,138,11,0,4.72,4.78,4.78,4.82,4.8,4.95,4.68,60.33479452,45.14575342,0.081216438,15.91424658,4.594520548,9.324383562,65.26958904,62.40246575,136.2465753,329.4736842
